ticker,name,exchange,issuer,asset_class,category,traded_value,liquidity_rank,tracked
AAA,Alternative Access First Priority CLO Bond ETF,NYSE Arca,Other,Bond,Bond,86147.93424606323,3934.0,False
AAAA,Amplius Aggressive Asset Allocation ETF,Cboe BZX,Other,Multi-Asset,Multi-Asset,117311.99970245361,3715.0,False
AAAC,Columbia AAA CLO ETF,NYSE Arca,Other,Equity,Broad Market,1997.830581665039,5603.0,False
AAAD,PGIM AAA CLO Aggregate Duration ETF,NYSE Arca,Other,Bond,Bond,4943.3868408203125,5158.0,False
AAAP,Pacer Barings CLO Market Flex ETF,Nasdaq,Pacer,Equity,Broad Market,12616.690635681152,4859.0,False
AAAU,Goldman Sachs Physical Gold ETF Shares,Cboe BZX,Goldman Sachs,Commodity,Commodity,54046190.974617004,385.0,False
AADR,AdvisorShares Dorsey Wright ADR ETF,Nasdaq,Other,Equity,Broad Market,154688.50173950195,3512.0,False
AAEQ,Alpha Architect US Equity 2 ETF,Nasdaq,Alpha Architect,Equity,Broad Market,10410.699844360352,4915.0,False
AALG,Leverage Shares 2X Long AAL Daily ETF,Nasdaq,Other,Equity,Leveraged / Inverse,380671.2029457092,2846.0,False
AAOG,Leverage Shares 2X Long AAOI Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,7467432.993352413,1039.0,False
AAOX,Tradr 2X Long AAOI Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,142202535.59503555,180.0,True
AAOZ,Tradr 2X Short AAOI Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,14000446.132087708,793.0,False
AAPB,GraniteShares 2x Long AAPL Daily ETF,Nasdaq,Other,Equity,Leveraged / Inverse,1978845.274925232,1676.0,False
AAPD,Direxion Daily AAPL Bear 1X ETF,Nasdaq,Direxion,Equity,Leveraged / Inverse,87169255.42721748,271.0,True
AAPE,Leverage Shares 2X Long AAPL Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,158039.0048980713,3494.0,False
AAPR,2 Yr to April 2028,Cboe BZX,Other,Equity,Broad Market,77066.59984588623,4008.0,False
AAPU,Direxion Daily AAPL Bull 2X ETF,Nasdaq,Direxion,Equity,Leveraged / Inverse,58126589.82963562,366.0,False
AAPW,Roundhill AAPL WeeklyPay ETF,Cboe BZX,Roundhill,Equity,Broad Market,520290.7985687256,2609.0,False
AAPX,T-Rex 2X Long Apple Daily Target ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,1376393.1873321533,1914.0,False
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Cboe BZX,Other,Equity,Broad Market,129712.39166259766,3655.0,False
AAUA,Alpha Architect US Equity 3 ETF,Cboe BZX,Alpha Architect,Equity,Broad Market,5895.4999923706055,5097.0,False
AAUB,Alpha Architect US Equity 4 ETF,Nasdaq,Alpha Architect,Equity,Broad Market,51759.9983215332,4226.0,False
AAUS,Alpha Architect US Equity ETF,Nasdaq,Alpha Architect,Equity,Broad Market,43352.00080871582,4319.0,False
AAVM,Alpha Architect Global Factor Equity ETF,Nasdaq,Alpha Architect,Equity,Broad Market,20425.499725341797,4673.0,False
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Nasdaq,BlackRock,Equity,Country,55733358.097839355,375.0,False
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Nasdaq,Other,Equity,Broad Market,68765.99884033203,4079.0,False
ABEQ,Absolute Select Value ETF,NYSE Arca,Other,Equity,Broad Market,355207.61222839355,2902.0,False
ABFL,Abacus FCF Leaders ETF,Cboe BZX,Other,Equity,Broad Market,920074.5635986328,2174.0,False
ABI,VictoryShares Pioneer Asset-Based Income ETF,Nasdaq,Other,Equity,Broad Market,2471.805000305176,5527.0,False
ABIG,Argent Large Cap ETF,Nasdaq,Other,Equity,Broad Market,19265.550804138184,4708.0,False
ABLD,Abacus FCF Real Assets Leaders ETF,Cboe BZX,Other,Equity,Broad Market,250509.65814590454,3144.0,False
ABLG,Abacus FCF International Leaders ETF,Cboe BZX,Other,Equity,Broad Market,12523.373031616211,4863.0,False
ABLS,Abacus FCF Small Cap Leaders ETF,Cboe BZX,Other,Equity,Broad Market,18124.400329589844,4734.0,False
ABOT,Abacus FCF Innovation Leaders ETF,Cboe BZX,Other,Equity,Thematic,4197.500038146973,5215.0,False
ABUF,Aptus Laddered Buffer ETF,Cboe BZX,Other,Equity,Derivative Income,32819.99931335449,4470.0,False
ABXB,Abacus Flexible Bond Leaders ETF,Cboe BZX,Other,Bond,Bond,1921.0000038146973,5616.0,False
ACEI,Innovator Equity Autocallable Income Strategy ETF,NYSE Arca,Innovator,Equity,Broad Market,489800.86669921875,2649.0,False
ACEP,ARS Core Equity Portfolio ETF,Nasdaq,Other,Equity,Broad Market,18728.700637817383,4722.0,False
ACES,ALPS Clean Energy ETF,NYSE Arca,Other,Equity,Thematic,1821974.031162262,1731.0,False
ACGO,Hartford Alpha Capture Growth ETF,Cboe BZX,Other,Equity,Broad Market,3828.999900817871,5239.0,False
ACGR,American Century Large Cap Growth ETF,NYSE Arca,American Century,Equity,Broad Market,7073.550033569336,5048.0,False
ACHX,Corgi ACHR 2x Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,3906.999969482422,5232.0,False
ACII,Innovator Index Autocallable Income Strategy ETF,NYSE Arca,Innovator,Equity,Broad Market,1036496.2366104126,2106.0,False
ACIO,Aptus Collared Investment Opportunity ETF,Cboe BZX,Other,Equity,Broad Market,6275965.3257369995,1112.0,False
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,NYSE Arca,Other,Equity,Broad Market,371614.69917297363,2865.0,False
ACLC,American Century Large Cap Equity ETF,NYSE Arca,American Century,Equity,Broad Market,435031.5116882324,2742.0,False
ACLO,TCW AAA CLO ETF,NYSE,Other,Equity,Broad Market,220470.07961273193,3245.0,False
ACLZ,Corgi ACLS 2x Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,1577.9999732971191,5625.0,False
ACMM,Corgi ACMR 2x Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,35295.99914550781,4428.0,False
ACOM,Harbor Active Commodity ETF,NYSE Arca,Other,Commodity,Commodity,4702.000045776367,5191.0,False
ACQQ,ProShares Nasdaq-100 Autocallable Income ETF,Nasdaq,ProShares,Equity,Broad Market,31485.99910736084,4489.0,False
ACRT,ProShares Russell 2000 Autocallable Income ETF,Nasdaq,ProShares,Equity,Broad Market,27213.99974822998,4555.0,False
ACSG,American Century Small Cap Growth Insights ETF,Cboe BZX,American Century,Equity,Broad Market,88122.2490310669,3921.0,False
ACSI,American Customer Satisfaction ETF,Cboe BZX,Other,Equity,Broad Market,7761.349868774414,5031.0,False
ACSP,ProShares S&P 500 Autocallable Income ETF,Nasdaq,ProShares,Equity,Broad Market,9712.000274658203,4960.0,False
ACSV,American Century Small Cap Value Insights ETF,Cboe BZX,American Century,Equity,Broad Market,37642.0503616333,4393.0,False
ACTS,FIS Tactical Equity ETF,NYSE Arca,Other,Equity,Broad Market,91177.50062942505,3901.0,False
ACVF,American Conservative Values ETF,NYSE Arca,Other,Equity,Broad Market,224911.59896850586,3224.0,False
ACVT,Advent Convertible Bond ETF,NYSE Arca,Other,Bond,Bond,2847.1662521362305,5339.0,False
ACVU,Hartford Alpha Capture Value ETF,Cboe BZX,Other,Equity,Broad Market,159846.99878692627,3485.0,False
ACWI,iShares MSCI ACWI ETF,Nasdaq,BlackRock,Equity,Country,404105534.63516235,80.0,True
ACWV,iShares MSCI Global Min Vol Factor ETF,Cboe BZX,BlackRock,Equity,Country,9763287.5,916.0,False
ACWX,iShares MSCI ACWI ex U.S. ETF,Nasdaq,BlackRock,Equity,Country,101908962.94212341,239.0,True
ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,NYSE Arca,Other,Equity,Broad Market,32992766.86859131,515.0,False
ACYQ,FT Vest Autocallable Barrier & High Income ETF,NYSE Arca,Other,Equity,Broad Market,1181060.9956741333,2010.0,False
ACYS,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,NYSE Arca,Other,Equity,Broad Market,6154263.83934021,1116.0,False
ADBG,Leverage Shares 2X Long ADBE Daily ETF,Nasdaq,Other,Equity,Leveraged / Inverse,18992013.003456593,687.0,False
ADBU,Direxion Daily ADBE Bull 2X ETF,NYSE Arca,Direxion,Equity,Leveraged / Inverse,707076.0200500488,2389.0,False
ADDS,Hedgeye Index Adds ETF,NYSE Arca,Other,Equity,Broad Market,219915.0037765503,3247.0,False
ADIU,Leverage Shares 2X Long ADI Daily ETF,Cboe BZX,Other,Equity,Leveraged / Inverse,40393.000984191895,4353.0,False
ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,NYSE Arca,Other,Equity,Dividend,71154.00123596191,4054.0,False
ADME,Aptus Drawdown Managed Equity ETF,Cboe BZX,Other,Equity,Broad Market,431847.34439849854,2748.0,False
ADPV,Adaptiv Select ETF,NYSE Arca,Other,Equity,Broad Market,367333.2447052002,2876.0,False
