Date,VNINDEX,VN30,VN100,VNMIDCAP,VNSMALLCAP,VNX50,VNFINLEAD,VNFINSELECT,VNDIAMOND,HNXINDEX,UPCOMINDEX,E1VFVN30,FUEVFVND,FUEDCMID,FUEIP100,FUESSV30,FUESSVFL,FUESSV50,FUEVN100,FUEMAV30,FUEMAVND,FUEKIV30,FUEKIVFS,SP500,NASDAQ,NASDAQ100,DOWJONES,RUSSELL2000,VIX,DAX,MDAX,TECDAX,ESTX50,STOXX600,FTSE100,CAC40,SMI,AEX,IBEX35,NIKKEI225,HANGSENG,SHANGHAI,KOSPI,TAIEX,NIFTY50,SENSEX,STI,SET,KLCI,JKSE,PSEI,ASX200,TSX,BOVESPA,IPC,SPY,IVV,VOO,VTI,QQQ,QQQM,DIA,IWM,IJH,IJR,RSP,VTV,VUG,MTUM,QUAL,USMV,SCHD,VYM,VIG,ARKK,XLK,XLF,XLV,XLE,XLI,XLY,XLP,XLU,XLB,XLRE,XLC,SMH,SOXX,IBB,IGV,ICLN,TAN,BOTZ,LIT,HACK,VT,ACWI,URTH,VEA,EFA,IEFA,VXUS,EEM,VWO,IEMG,VNM,EWG,EWU,EWQ,EWL,EWN,EWJ,EWY,EWT,EWA,EWS,EWM,THD,EIDO,EPHE,INDA,MCHI,FXI,ASHR,KWEB,EWC,EWZ,EWW,EZA,TUR,EUNL.DE,SXR8.DE,IUSQ.DE,IS3N.DE,EXS1.DE,EXSA.DE,EXW1.DE,EXSI.DE,VWCE.DE,VGWL.DE,XDWD.DE,XMME.DE,EUNA.DE,IBCI.DE,CSPX.L,VUSA.L,VWRL.L,ISF.L,VUKE.L,IWDA.AS,CW8.PA,1306.T,1321.T,2800.HK,2828.HK,069500.KS,102110.KS,0050.TW,0056.TW,NIFTYBEES.NS,VAS.AX,STW.AX,XIU.TO,VFV.TO,AGG,BND,TLT,IEF,SHY,LQD,HYG,TIP,EMB,BNDX,GLD,IAU,SLV,DBC,USO,4GLD.DE,VNQ,VNQI,IBIT,BTC-USD
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,3991400000.0,1931380000.0,1931380000.0,179780000.0,3991400000.0,0.0,104344400.0,15326000.0,121276100.0,0.0,0.0,750942000.0,113396000.0,59578000.0,90515200.0,184200.0,104400000.0,1006200000.0,109400.0,296500.0,6429400.0,0.0,28200.0,0.0,2368700.0,56508200.0,18339300.0,0.0,0.0,132670500.0,1655400.0,136257800.0,118944600.0,3574200.0,,2251500.0,62822800.0,,8977300.0,42863900.0,4350000.0,3055600.0,742200.0,360400.0,2977200.0,,,,,65600.0,726300.0,,16898800.0,92942347.0,5580900.0,33856800.0,7471500.0,10887800.0,8465900.0,16435200.0,15135000.0,,,18905400.0,380400.0,1867500.0,336000.0,25900.0,19710.0,,,,367700.0,365600.0,,2165800.0,18556900.0,,,70761600.0,16750400.0,,157400.0,720900.0,1654300.0,97400.0,306300.0,194500.0,5928175.0,4952600.0,6074500.0,4967500.0,1414500.0,311075.0,479900.0,,,,,16220300.0,,,3007500.0,12115900.0,4004300.0,125500.0,206200.0,275.0,,,,1042358.0,128000.0,1563795.0,11130.0,,,,,,6124.0,,,,3549031.0,,950.0,0.0,800930.0,466774.0,6239719.0,,867344.0,202269.0,20069.0,277.0,414090.0,24802.0,153806.0,7650700.0,,987900.0,1098100.0,2829100.0,619100.0,1220600.0,2017600.0,1316800.0,3583200.0,120500.0,,16224100.0,1185000.0,9720500.0,2046900.0,1426038.0,511431.0,2408400.0,,,
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,2491020000.0,2367860000.0,2367860000.0,188540000.0,2491020000.0,0.0,117572100.0,20736600.0,0.0,0.0,0.0,1149301200.0,129518600.0,67868600.0,106369100.0,238400.0,166200000.0,1965600000.0,126200.0,408900.0,6762000.0,0.0,27000.0,0.0,3028800.0,136646600.0,57043800.0,0.0,0.0,167798200.0,1984200.0,165541900.0,111579900.0,2784100.0,,1597700.0,62935600.0,,6549200.0,55523100.0,3539000.0,3071000.0,1217900.0,405500.0,4417200.0,,,,,47100.0,291500.0,,39976400.0,96770018.0,5428600.0,34736200.0,8256700.0,12324400.0,11805400.0,36047400.0,17678400.0,,,29157800.0,616800.0,2460000.0,226000.0,19600.0,117340.0,,,,994000.0,171200.0,,881800.0,14352800.0,,,50196300.0,13083300.0,,185800.0,4531000.0,497000.0,164100.0,162400.0,319100.0,7801450.0,4520900.0,12276300.0,5501300.0,1571400.0,1467800.0,170800.0,,,,,16484500.0,,,3820400.0,12605000.0,4103800.0,238900.0,198400.0,0.0,,,,720111.0,20985.0,1125011.0,1583.0,,,,,,5055.0,,,,4149908.0,,867.0,0.0,2679750.0,463495.0,7952312.0,,1365971.0,353648.0,16430.0,710.0,632610.0,10083.0,200551.0,7562200.0,,500500.0,814600.0,2841600.0,1547500.0,598200.0,1143800.0,733000.0,1738200.0,98700.0,,14213100.0,936000.0,13318600.0,2335400.0,1306275.0,392044.0,2054200.0,,,
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,4972660000.0,2253340000.0,2253340000.0,186040000.0,4972660000.0,0.0,108742400.0,16927500.0,0.0,0.0,0.0,998295300.0,110087000.0,54027100.0,78921400.0,123800.0,181800000.0,2100200000.0,123600.0,426000.0,6421600.0,0.0,21400.0,0.0,3696400.0,117740300.0,51569100.0,0.0,0.0,194400800.0,2243600.0,126000100.0,116074400.0,3912800.0,,2120300.0,96033000.0,,6797200.0,59708600.0,2520500.0,1861400.0,1330200.0,456000.0,3119400.0,,,,,113100.0,217100.0,,20048200.0,75492798.0,4883600.0,48703800.0,5356700.0,8493800.0,9267000.0,25490200.0,16184000.0,,,21329000.0,219300.0,1690500.0,219500.0,19000.0,112510.0,,,,135600.0,346600.0,,2264900.0,11888100.0,,,50670000.0,16128000.0,,116900.0,486500.0,427650.0,117300.0,436100.0,41500.0,9715575.0,3232800.0,7782600.0,5656500.0,787200.0,552550.0,149200.0,,,,,11460900.0,,,1980800.0,11989600.0,2275200.0,215000.0,337700.0,1500.0,,,,775176.0,57026.0,986122.0,214.0,,,,,,2897.0,,,,3635957.0,,433.0,0.0,1846870.0,442235.0,9995657.0,,847084.0,160452.0,18953.0,402.0,490910.0,8573.0,115393.0,12008400.0,,714300.0,981300.0,4099600.0,365500.0,1534900.0,1005500.0,715700.0,1233900.0,135300.0,,24981900.0,1091000.0,14047000.0,2262600.0,2473725.0,145826.0,2471200.0,,,
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,5270680000.0,2270050000.0,2270050000.0,217390000.0,5270680000.0,0.0,133704300.0,25162400.0,139642300.0,0.0,0.0,1162933700.0,118430400.0,67842700.0,103411000.0,192400.0,182600000.0,1495400000.0,128600.0,462400.0,7133000.0,0.0,18000.0,0.0,3693600.0,115024400.0,45510800.0,0.0,0.0,190573600.0,1555000.0,123563200.0,131091100.0,2977600.0,,1656700.0,77094100.0,,6312000.0,56123500.0,2517000.0,4175200.0,707800.0,323200.0,1637400.0,,,,,45100.0,221000.0,,14584800.0,117869112.0,6114600.0,34899000.0,12118200.0,11473400.0,6951500.0,13126200.0,11514600.0,,,28677800.0,300600.0,1040400.0,219500.0,45200.0,56540.0,,,,874300.0,113400.0,,811700.0,10906600.0,,,41803700.0,7696600.0,,93100.0,504800.0,786550.0,87500.0,100000.0,143700.0,8008575.0,3456000.0,3998050.0,3127300.0,1079850.0,412375.0,229400.0,,,,,23195800.0,,,1626000.0,9750900.0,1673900.0,282400.0,262200.0,0.0,,,,1290129.0,95647.0,1970999.0,15345.0,,,,,,1408.0,,,,5106946.0,,2.0,0.0,1012770.0,458098.0,5577754.0,,1196817.0,314446.0,14101.0,1221.0,413300.0,4932.0,167762.0,10942800.0,,705700.0,661700.0,2793200.0,390900.0,772000.0,1264100.0,956000.0,982100.0,98300.0,,13609800.0,811500.0,12587200.0,1604100.0,1252963.0,110733.0,2091700.0,,,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,4389590000.0,2145390000.0,2145390000.0,172710000.0,4389590000.0,0.0,126099000.0,22327400.0,0.0,0.0,0.0,1006420600.0,131783200.0,76094500.0,127867400.0,213200.0,211800000.0,1626000000.0,98400.0,380000.0,5764400.0,0.0,17200.0,0.0,2693600.0,74587200.0,73723500.0,0.0,0.0,167761200.0,1634400.0,109516900.0,126402800.0,2887600.0,,1650000.0,88886600.0,,4912000.0,48811500.0,2525500.0,1379000.0,690700.0,263300.0,2499000.0,,,,,49300.0,258000.0,,23772400.0,111866140.0,4284800.0,26688600.0,8065000.0,12876000.0,5437400.0,12535200.0,9284800.0,,,41759000.0,232800.0,1153800.0,230500.0,17800.0,45760.0,,,,92300.0,275100.0,,710000.0,12826500.0,,,41118100.0,7663100.0,,107000.0,523700.0,365850.0,155400.0,90100.0,9600.0,4221025.0,2722800.0,5970000.0,3014200.0,1357650.0,349825.0,134400.0,,,,,12764700.0,,,1922700.0,9772600.0,1199400.0,265300.0,292400.0,0.0,,,,1181798.0,237992.0,1421378.0,77213.0,,,,,,18801.0,,,,4840655.0,,1.0,0.0,1772750.0,697940.0,5276296.0,,1385732.0,327724.0,11324.0,354.0,257610.0,5223.0,215816.0,6844200.0,,412300.0,1270000.0,2910700.0,382500.0,713200.0,704600.0,711400.0,866700.0,327900.0,,15894600.0,737000.0,11736100.0,1565300.0,1174188.0,96064.0,2682000.0,,,
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,4255780000.0,2077890000.0,2077890000.0,182050000.0,4255780000.0,0.0,103675800.0,23846100.0,211041100.0,0.0,0.0,901194900.0,110068800.0,59535200.0,123004900.0,230800.0,,1744600000.0,136400.0,407700.0,5857000.0,0.0,18400.0,0.0,3186800.0,92427600.0,52891200.0,0.0,0.0,172295300.0,1569000.0,150332200.0,106375700.0,3100500.0,,1883100.0,104673400.0,,6858300.0,51638900.0,2225000.0,1642000.0,885100.0,271400.0,2590200.0,,,,,58100.0,250100.0,,30477800.0,72747299.0,4177700.0,38919800.0,11895500.0,8347000.0,6140200.0,17749000.0,18217000.0,,,31523400.0,269100.0,1516500.0,176000.0,92600.0,36660.0,,,,172300.0,118100.0,,813900.0,12387500.0,,,42546400.0,8068300.0,,146400.0,575000.0,694400.0,120600.0,69000.0,26200.0,5207850.0,5167400.0,5834200.0,5566400.0,1200350.0,509000.0,123100.0,,,,,17206100.0,,,2971500.0,10018500.0,1527600.0,296100.0,251300.0,0.0,,,,1046737.0,39285.0,2028484.0,35234.0,,,,,,2057.0,,,,5673493.0,,1.0,0.0,,,6478189.0,,1104657.0,305710.0,11555.0,628.0,281270.0,4935.0,213814.0,4090800.0,,684400.0,2237100.0,2181300.0,653600.0,756600.0,817500.0,895800.0,1076700.0,127000.0,,17253000.0,951000.0,19132300.0,1493800.0,1121988.0,292044.0,1924800.0,,,
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,4716160000.0,2368320000.0,2368320000.0,256050000.0,4716160000.0,0.0,129269700.0,24370100.0,167527300.0,0.0,0.0,957401700.0,124775800.0,63201700.0,110926400.0,186800.0,192800000.0,2204800000.0,140600.0,383800.0,5246000.0,0.0,18600.0,0.0,3455500.0,95212000.0,57497400.0,0.0,0.0,177640000.0,1628600.0,139205800.0,163333500.0,3453900.0,,1730100.0,90673900.0,,8869900.0,45854900.0,2396500.0,3751800.0,335500.0,368200.0,2865000.0,,,,,55800.0,258100.0,,19485600.0,137613736.0,5791400.0,43021200.0,12020700.0,10946800.0,6822400.0,16655000.0,26324000.0,,,37312800.0,316800.0,2004600.0,189000.0,57300.0,68800.0,,,,100100.0,171500.0,,658500.0,19029700.0,,,65902300.0,11307800.0,,106100.0,1167800.0,698100.0,142500.0,186200.0,171200.0,7622100.0,3389500.0,11815150.0,6107200.0,2708700.0,646300.0,129100.0,,,,,32969400.0,,,2179400.0,15398800.0,2450800.0,359300.0,497200.0,0.0,,,,1423064.0,52118.0,673281.0,71985.0,,,,,,6365.0,,,,5309565.0,,82.0,0.0,4662810.0,445820.0,5649424.0,,921112.0,371138.0,7296.0,193.0,420850.0,14184.0,244523.0,8544900.0,,1818500.0,702100.0,4321200.0,403000.0,582900.0,1343100.0,1133900.0,1073000.0,138400.0,,29182600.0,1911000.0,13602000.0,3256300.0,1495013.0,118264.0,3124500.0,,,
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,4170360000.0,2318350000.0,2318350000.0,202810000.0,4170360000.0,0.0,114728400.0,21957500.0,0.0,0.0,0.0,849923000.0,117700800.0,60682800.0,95424000.0,181800.0,250000000.0,3414200000.0,158400.0,361900.0,4925600.0,0.0,26200.0,0.0,2487400.0,92362400.0,42685500.0,0.0,0.0,172419900.0,1818800.0,143683200.0,161822000.0,5017700.0,,1825200.0,100661000.0,,8619100.0,39501900.0,2523000.0,2655000.0,423400.0,282400.0,2055000.0,,,,,97100.0,181200.0,,20107400.0,100839458.0,8056100.0,44275000.0,10978200.0,9231600.0,7926700.0,15719000.0,23886200.0,,,32893600.0,342600.0,1252500.0,57000.0,72400.0,51300.0,,,,770200.0,211000.0,,674100.0,15446600.0,,,48040100.0,6855000.0,,106100.0,749100.0,421050.0,80000.0,107900.0,27500.0,8881400.0,3780200.0,8567900.0,4210100.0,1311700.0,534150.0,99200.0,,,,,33873600.0,,,2033600.0,18802600.0,2034000.0,143900.0,198300.0,90.0,,,,896081.0,44736.0,626180.0,98667.0,,,,,,2686.0,,,,3535869.0,,1.0,,2064250.0,498776.0,10966750.0,,1682617.0,547774.0,16666.0,269.0,478230.0,9111.0,216509.0,6554100.0,,530900.0,460500.0,4755000.0,281900.0,590500.0,1090700.0,868900.0,1187500.0,130200.0,,20014000.0,1580500.0,15448700.0,3565200.0,1937838.0,187312.0,2133000.0,,,
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,3915200000.0,2254170000.0,2254170000.0,201320000.0,3915200000.0,0.0,115453700.0,23975600.0,0.0,0.0,0.0,928036100.0,108974600.0,62677300.0,85885200.0,153800.0,267300000.0,2338700000.0,136000.0,433800.0,4837200.0,0.0,23400.0,0.0,3362100.0,103604300.0,53126200.0,0.0,0.0,161042700.0,1830200.0,447963200.0,115718800.0,2608000.0,,1667100.0,75209000.0,,7039900.0,41859800.0,2344500.0,2128600.0,557200.0,275800.0,2032200.0,,,,,46400.0,184500.0,,15013200.0,70844542.0,7801400.0,31090800.0,4762700.0,11280600.0,5258900.0,9633200.0,19231000.0,,,52052200.0,424200.0,1803900.0,440000.0,26800.0,131800.0,,,,94400.0,56200.0,,2226300.0,13362600.0,,,52893800.0,6466600.0,,62900.0,447500.0,446450.0,169400.0,229300.0,14500.0,6478200.0,3153300.0,4610300.0,4347300.0,1267900.0,663125.0,77300.0,,,,,25716800.0,,,1630700.0,19433900.0,1350700.0,169900.0,284700.0,0.0,,,,567541.0,87749.0,654395.0,9885.0,,,,,,248.0,,,,4441313.0,,1.0,0.0,1175620.0,448870.0,4093347.0,,1213767.0,419021.0,9959.0,415.0,508750.0,4455.0,376435.0,4954100.0,,498600.0,777700.0,4188800.0,511700.0,549900.0,873200.0,394600.0,1495900.0,90400.0,,18305300.0,929000.0,8812200.0,1622200.0,1071988.0,125047.0,1594700.0,,,
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,4758730000.0,2637770000.0,2637770000.0,362930000.0,4758730000.0,0.0,156035200.0,21378300.0,0.0,0.0,0.0,1743437800.0,162295200.0,82925900.0,129802300.0,236400.0,252900000.0,2659800000.0,120600.0,415900.0,5643400.0,0.0,17600.0,0.0,2917100.0,99995400.0,47643800.0,0.0,0.0,148632900.0,1648400.0,318270300.0,212283100.0,5227700.0,,2785900.0,126849300.0,,14027400.0,68725100.0,3076500.0,2658800.0,459900.0,313200.0,2684400.0,,,,,77700.0,211400.0,,27066600.0,118059301.0,9691800.0,38110400.0,7251000.0,11779000.0,11968800.0,25421400.0,15210600.0,,,44643800.0,491400.0,2597700.0,135000.0,31300.0,75440.0,,,,301700.0,48100.0,,764900.0,19281700.0,,,76681800.0,6679600.0,,149300.0,1869900.0,300600.0,77600.0,112100.0,52600.0,9396400.0,3096800.0,11957200.0,4217500.0,1669050.0,301000.0,84800.0,,,,,23505900.0,,,1993300.0,21758900.0,2598000.0,173000.0,119600.0,102.0,,,,1798983.0,25593.0,1413882.0,33025.0,,,,,,3363.0,,,,9089389.0,,3893.0,0.0,4852550.0,439640.0,4150191.0,,1076635.0,372497.0,8404.0,364.0,938660.0,9669.0,324816.0,3542100.0,,575300.0,745300.0,4142800.0,429200.0,648300.0,834300.0,835300.0,1254600.0,180600.0,,18002700.0,1162500.0,9979700.0,1427200.0,1576913.0,95914.0,5577000.0,,,
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79532100.0,12398900.0,165744000.0,0.0,0.0,776795200.0,86949800.0,49263200.0,56837400.0,95600.0,186600000.0,1867400000.0,135000.0,420800.0,5100400.0,0.0,15400.0,0.0,2297300.0,93256800.0,30861500.0,0.0,0.0,632200.0,1139000.0,32108200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,629906.0,175264.0,942152.0,2544.0,,,,,,1072.0,,,,3353236.0,,3172.0,0.0,2107430.0,819275.0,6957523.0,,1248887.0,428907.0,5015.0,304.0,1130.0,3869.0,137166.0,3527200.0,,,,,,,,,,,,,,,,,104119.0,,,,
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,4724830000.0,2045290000.0,2045290000.0,192150000.0,4724830000.0,0.0,113604900.0,23566900.0,193456200.0,0.0,0.0,1107801600.0,115690200.0,70931300.0,83807600.0,202400.0,174700000.0,1913400000.0,130000.0,384400.0,5582400.0,0.0,13400.0,0.0,3736500.0,91881200.0,32768000.0,0.0,0.0,144213400.0,1323400.0,213255300.0,139172700.0,3430200.0,,2546700.0,84388200.0,,10877400.0,46839000.0,2104500.0,5245600.0,410700.0,386500.0,3228600.0,,,,,80500.0,258000.0,,14965600.0,100437782.0,17749900.0,29226200.0,11941300.0,8837000.0,10974200.0,11792800.0,13603400.0,,,30379200.0,397800.0,1729800.0,233000.0,37500.0,60140.0,,,,288500.0,203700.0,,514600.0,17507700.0,,,57597300.0,6807700.0,,194200.0,1653800.0,527550.0,105900.0,115400.0,46400.0,4339950.0,4468500.0,8158800.0,3202100.0,2279650.0,234150.0,93400.0,,,,,22103900.0,,,2454100.0,12202000.0,2548700.0,178900.0,188100.0,110.0,,,,1632674.0,75919.0,1140213.0,8499.0,,,,,,926.0,,,,22142138.0,,1.0,0.0,4685690.0,523118.0,6903721.0,,1419759.0,306953.0,6718.0,193.0,1070.0,7810.0,141069.0,3056100.0,,754800.0,782000.0,2496000.0,411900.0,1154000.0,822100.0,796900.0,1649700.0,157100.0,,10468200.0,972000.0,8637200.0,2316500.0,1022538.0,80789.0,2454200.0,,,
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,4810560000.0,2351890000.0,2351890000.0,203270000.0,4810560000.0,0.0,118371200.0,22173800.0,278728100.0,0.0,0.0,1199200900.0,143524600.0,79419400.0,111977300.0,233600.0,146400000.0,2197600000.0,158200.0,695700.0,5009800.0,0.0,17000.0,0.0,3102200.0,138379000.0,36995600.0,0.0,0.0,193857300.0,1990600.0,215329000.0,216490200.0,7105900.0,,2755100.0,145680000.0,,11896600.0,62485000.0,4006000.0,3393000.0,389500.0,357800.0,2454000.0,,,,,85300.0,278600.0,,29398000.0,99359426.0,16706200.0,31283400.0,9810400.0,10056200.0,8670500.0,19039400.0,23007600.0,,,43078800.0,916200.0,2141400.0,216000.0,36200.0,115160.0,,,,170500.0,136800.0,,916300.0,24510100.0,,,78934700.0,12561800.0,,80500.0,1060100.0,883500.0,140400.0,111200.0,22900.0,8363125.0,4177900.0,7429900.0,4879900.0,1351450.0,332900.0,196100.0,,,,,35039700.0,,,3543500.0,21743300.0,3423700.0,307400.0,481300.0,150.0,,,,1521922.0,102772.0,2066616.0,18651.0,,,,,,5149.0,,,,5948693.0,,59.0,0.0,1010570.0,591605.0,13918030.0,,1341317.0,313592.0,23380.0,744.0,250.0,6679.0,398326.0,9171500.0,,614200.0,417300.0,2800500.0,228800.0,1085600.0,1112000.0,588500.0,1020500.0,169500.0,,17535000.0,1515000.0,18988600.0,1848500.0,1429913.0,323450.0,3339900.0,,,
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,6874290000.0,2877800000.0,2877800000.0,304290000.0,6874290000.0,0.0,138594400.0,27636600.0,0.0,0.0,0.0,1345500500.0,112341400.0,86545500.0,106124100.0,288200.0,176900000.0,2465600000.0,114400.0,543500.0,4596800.0,0.0,17200.0,0.0,2375900.0,101398500.0,32438400.0,0.0,0.0,197664900.0,2263800.0,243330800.0,344859600.0,9015900.0,,4350700.0,204939600.0,,22253800.0,98323100.0,5704000.0,3598600.0,697900.0,481900.0,3991800.0,,,,,96100.0,396600.0,,25606800.0,310007531.0,15057200.0,50413200.0,17492900.0,13573200.0,9044700.0,25810600.0,39632400.0,,,48359000.0,762900.0,2541000.0,408500.0,15100.0,79090.0,,,,970700.0,243400.0,,1492100.0,22979100.0,,,116104300.0,13739200.0,,205000.0,1329100.0,598800.0,161800.0,619900.0,91800.0,14103825.0,5137100.0,7286350.0,9086100.0,1961450.0,412800.0,80300.0,,,,,44647400.0,,,4676400.0,31602000.0,3515400.0,249900.0,189100.0,0.0,,,,1862043.0,87787.0,1438815.0,37435.0,,,,,,5712.0,,,,11650538.0,,1.0,0.0,1254940.0,841468.0,16467130.0,,923582.0,187330.0,13834.0,207.0,0.0,11068.0,434077.0,12726300.0,,540200.0,647300.0,4363100.0,349200.0,1281000.0,1333400.0,1416800.0,1013000.0,115900.0,,25748400.0,1700500.0,14711800.0,2452400.0,1714650.0,292086.0,4233400.0,,,
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,6208650000.0,2817620000.0,2817620000.0,323620000.0,6208650000.0,0.0,177787000.0,31358800.0,241393900.0,0.0,0.0,1645842400.0,170381000.0,122905700.0,156662600.0,302600.0,187400000.0,3220400000.0,137800.0,615100.0,4907200.0,0.0,23200.0,0.0,2973500.0,94221600.0,36693100.0,0.0,0.0,194087600.0,1305000.0,210227600.0,345942400.0,7485100.0,,4423000.0,171098700.0,,24606900.0,83757000.0,5129500.0,4356400.0,968100.0,464100.0,4108200.0,,,,,122400.0,281700.0,,67402400.0,260932239.0,13221000.0,46057200.0,16216200.0,20184200.0,9082400.0,25406200.0,40093800.0,,,73004400.0,733200.0,3003600.0,256500.0,43300.0,86060.0,,,,137900.0,74900.0,,1406400.0,27432500.0,,,108173800.0,16390400.0,,106700.0,1213500.0,414650.0,76400.0,179300.0,147300.0,7058500.0,5999400.0,8270850.0,6838800.0,2184150.0,418575.0,119700.0,,,,,46879900.0,,,5439700.0,26948300.0,4046900.0,214400.0,253000.0,0.0,,,,2382003.0,62636.0,4191035.0,37757.0,,,,,,5679.0,,,,14115779.0,,1680.0,0.0,3553810.0,1180879.0,34137440.0,,2697668.0,528304.0,29399.0,278.0,2060.0,12784.0,427926.0,13044800.0,,426600.0,403200.0,3666900.0,272900.0,725600.0,1003800.0,1394400.0,828000.0,68800.0,,24210100.0,1843000.0,17047800.0,3609600.0,2237738.0,547027.0,5039500.0,,,
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,4481390000.0,2134350000.0,2134350000.0,215330000.0,4481390000.0,0.0,122382000.0,19182100.0,200568900.0,0.0,0.0,1024448800.0,131374000.0,82658800.0,106317800.0,203600.0,139800000.0,1909800000.0,78400.0,585000.0,3663800.0,0.0,16400.0,0.0,1790700.0,64897200.0,33669400.0,0.0,0.0,134679900.0,,196961600.0,186937500.0,3414600.0,,2781100.0,154218700.0,,18236800.0,62298700.0,3432500.0,3234600.0,2123100.0,548200.0,4398000.0,,,,,136400.0,252400.0,,66680200.0,179396215.0,7485600.0,31802400.0,12695500.0,10623200.0,6078200.0,14953600.0,20610200.0,,,40163600.0,536400.0,1909500.0,297500.0,32700.0,44630.0,,,,140000.0,277400.0,,744200.0,20242700.0,,,86170400.0,13534300.0,,69600.0,1080400.0,288700.0,64500.0,53800.0,57700.0,4211075.0,4114100.0,5756550.0,4901500.0,1623150.0,222325.0,142900.0,,,,,31769700.0,,,2767300.0,17155200.0,2636100.0,338700.0,107500.0,150.0,,,,1930985.0,140711.0,2026416.0,124058.0,,,,,,2362.0,,,,8969553.0,,50.0,0.0,1903360.0,436868.0,14430700.0,,1529380.0,369983.0,12826000.0,182000.0,630.0,8249.0,763913.0,7865500.0,,514200.0,692900.0,2419500.0,1699000.0,624600.0,765100.0,711300.0,1131500.0,68000.0,,13200500.0,1236500.0,8190200.0,1718100.0,1131550.0,322446.0,3749000.0,,,
