Date,VNINDEX,VN30,VN100,VNFINLEAD,VNX50,VNDIAMOND,E1VFVN30,FUEVFVND,FUEDCMID,FUEIP100,FUESSV30,FUESSVFL,FUESSV50,FUEVN100,FUEMAV30,FUEMAVND,FUEKIV30,FUEKIVFS
2014-10-06,,,,,,,10.4,,,,,,,,,,,
2014-10-07,,,,,,,10.3,,,,,,,,,,,
2014-10-08,,,,,,,10.3,,,,,,,,,,,
2014-10-09,,,,,,,10.2,,,,,,,,,,,
2014-10-10,,,,,,,9.9,,,,,,,,,,,
2014-10-13,,,,,,,9.9,,,,,,,,,,,
2014-10-14,,,,,,,9.9,,,,,,,,,,,
2014-10-15,,,,,,,9.9,,,,,,,,,,,
2014-10-16,,,,,,,9.6,,,,,,,,,,,
2014-10-17,,,,,,,9.7,,,,,,,,,,,
2014-10-20,,,,,,,9.8,,,,,,,,,,,
2014-10-21,,,,,,,9.9,,,,,,,,,,,
2014-10-22,,,,,,,9.8,,,,,,,,,,,
2014-10-23,,,,,,,9.8,,,,,,,,,,,
2014-10-24,,,,,,,9.7,,,,,,,,,,,
2014-10-27,,,,,,,9.6,,,,,,,,,,,
2014-10-28,,,,,,,9.5,,,,,,,,,,,
2014-10-29,,,,,,,9.8,,,,,,,,,,,
2014-10-30,,,,,,,9.7,,,,,,,,,,,
2014-10-31,,,,,,,9.9,,,,,,,,,,,
2014-11-03,,,,,,,10.1,,,,,,,,,,,
2014-11-04,,,,,,,10.1,,,,,,,,,,,
2014-11-05,,,,,,,10.0,,,,,,,,,,,
2014-11-06,,,,,,,10.0,,,,,,,,,,,
2014-11-07,,,,,,,9.8,,,,,,,,,,,
2014-11-10,,,,,,,9.9,,,,,,,,,,,
2014-11-11,,,,,,,10.0,,,,,,,,,,,
2014-11-12,,,,,,,9.9,,,,,,,,,,,
2014-11-13,,,,,,,10.0,,,,,,,,,,,
2014-11-14,,,,,,,9.9,,,,,,,,,,,
2014-11-17,,,,,,,9.9,,,,,,,,,,,
2014-11-18,,,,,,,9.9,,,,,,,,,,,
2014-11-19,,,,,,,9.8,,,,,,,,,,,
2014-11-20,,,,,,,9.9,,,,,,,,,,,
2014-11-21,,,,,,,9.6,,,,,,,,,,,
2014-11-24,,,,,,,9.5,,,,,,,,,,,
2014-11-25,,,,,,,9.7,,,,,,,,,,,
2014-11-26,,,,,,,9.5,,,,,,,,,,,
2014-11-27,,,,,,,9.5,,,,,,,,,,,
2014-11-28,,,,,,,9.5,,,,,,,,,,,
2014-12-01,,,,,,,9.7,,,,,,,,,,,
2014-12-02,,,,,,,9.5,,,,,,,,,,,
2014-12-03,,,,,,,9.6,,,,,,,,,,,
2014-12-04,,,,,,,9.7,,,,,,,,,,,
2014-12-05,,,,,,,9.7,,,,,,,,,,,
2014-12-08,,,,,,,9.6,,,,,,,,,,,
2014-12-09,,,,,,,9.4,,,,,,,,,,,
2014-12-10,,,,,,,9.5,,,,,,,,,,,
2014-12-11,,,,,,,9.5,,,,,,,,,,,
